SEQUENCE_ID,STEP_INDEX,STEP
dev_mosfet_seq_0303_t60,42,EXPOSE LITHO LEVEL 2
dev_mosfet_seq_0303_t60,43,POST EXPOSE BAKE
dev_mosfet_seq_0303_t60,44,DEVELOP PHOTORESIST
dev_mosfet_seq_0303_t60,45,POLY PATTERN INSPECTION
dev_mosfet_seq_0303_t60,46,POLYSILICON ETCH
dev_mosfet_seq_0303_t60,47,STRIP RESIST
dev_mosfet_seq_0303_t60,48,CLEAN AFTER POLY ETCH
dev_mosfet_seq_0303_t60,49,IMPLANT SOURCE DRAIN
dev_mosfet_seq_0303_t60,50,PRE ANNEAL CHECK
dev_mosfet_seq_0303_t60,51,LIGHT ANNEAL
dev_mosfet_seq_0303_t60,52,MEASURE SHEET RESISTANCE
dev_mosfet_seq_0303_t60,53,DEPOSIT SPACER DIELECTRIC
dev_mosfet_seq_0303_t60,54,ANISOTROPIC ETCH SPACER
dev_mosfet_seq_0303_t60,55,IMPLANT LDD
dev_mosfet_seq_0303_t60,56,RAPID THERMAL ANNEAL
dev_mosfet_seq_0303_t60,57,MEASURE JUNCTION PROFILE
dev_mosfet_seq_0303_t60,58,DEPOSIT INTERLAYER DIELECTRIC
dev_mosfet_seq_0303_t60,59,DENSIFY OXIDE
dev_mosfet_seq_0303_t60,60,MEASURE FILM THICKNESS
dev_mosfet_seq_0303_t60,61,CMP DIELECTRIC
dev_mosfet_seq_0303_t60,62,MEASURE SURFACE PLANARITY
dev_mosfet_seq_0303_t60,63,SPIN COAT PHOTORESIST
dev_mosfet_seq_0303_t60,64,SOFT BAKE
dev_mosfet_seq_0303_t60,65,ALIGN MASK LEVEL 3
dev_mosfet_seq_0303_t60,66,EXPOSE LITHO LEVEL 3
dev_mosfet_seq_0303_t60,67,DEVELOP PHOTORESIST
dev_mosfet_seq_0303_t60,68,VIA INSPECTION
dev_mosfet_seq_0303_t60,69,VIA ETCH
dev_mosfet_seq_0303_t60,70,STRIP PHOTORESIST
dev_mosfet_seq_0303_t60,71,CLEAN AFTER VIA ETCH
dev_mosfet_seq_0303_t60,72,MEASURE VIA CD
dev_mosfet_seq_0303_t60,73,CURE PASSIVATION
dev_mosfet_seq_0303_t60,74,CURE PASSIVATION
dev_mosfet_seq_0303_t60,75,CURE PASSIVATION
dev_mosfet_seq_0303_t60,76,CURE PASSIVATION
dev_mosfet_seq_0303_t60,77,CURE PASSIVATION
dev_mosfet_seq_0303_t60,78,CURE PASSIVATION
dev_mosfet_seq_0303_t60,79,CURE PASSIVATION
dev_mosfet_seq_0303_t60,80,CURE PASSIVATION
dev_mosfet_seq_0303_t60,81,CURE PASSIVATION
dev_mosfet_seq_0303_t60,82,CURE PASSIVATION
dev_mosfet_seq_0303_t60,83,CURE PASSIVATION
dev_mosfet_seq_0303_t60,84,CURE PASSIVATION
dev_mosfet_seq_0303_t60,85,CURE PASSIVATION
dev_mosfet_seq_0303_t60,86,CURE PASSIVATION
dev_mosfet_seq_0303_t60,87,CURE PASSIVATION
dev_mosfet_seq_0303_t60,88,CURE PASSIVATION
dev_mosfet_seq_0303_t60,89,CURE PASSIVATION
dev_mosfet_seq_0303_t60,90,CURE PASSIVATION
dev_mosfet_seq_0303_t60,91,CURE PASSIVATION
dev_mosfet_seq_0303_t60,92,CURE PASSIVATION
dev_mosfet_seq_0303_t60,93,CURE PASSIVATION
dev_mosfet_seq_0303_t60,94,CURE PASSIVATION
dev_mosfet_seq_0303_t60,95,CURE PASSIVATION
dev_mosfet_seq_0303_t60,96,CURE PASSIVATION
dev_mosfet_seq_0303_t60,97,CURE PASSIVATION
dev_mosfet_seq_0303_t60,98,CURE PASSIVATION
dev_mosfet_seq_0303_t60,99,CURE PASSIVATION
dev_mosfet_seq_0303_t60,100,CURE PASSIVATION
dev_mosfet_seq_0303_t60,101,CURE PASSIVATION
dev_mosfet_seq_0303_t60,102,CURE PASSIVATION
dev_mosfet_seq_0303_t60,103,CURE PASSIVATION
dev_mosfet_seq_0303_t60,104,CURE PASSIVATION
dev_mosfet_seq_0303_t60,105,CURE PASSIVATION
dev_mosfet_seq_0303_t60,106,CURE PASSIVATION
dev_mosfet_seq_0303_t60,107,CURE PASSIVATION
dev_mosfet_seq_0303_t60,108,CURE PASSIVATION
dev_mosfet_seq_0303_t60,109,CURE PASSIVATION
dev_mosfet_seq_0303_t60,110,CURE PASSIVATION
dev_mosfet_seq_0303_t60,111,CURE PASSIVATION
dev_mosfet_seq_0303_t60,112,CURE PASSIVATION
dev_mosfet_seq_0303_t60,113,CURE PASSIVATION
dev_mosfet_seq_0303_t60,114,CURE PASSIVATION
dev_mosfet_seq_0303_t60,115,CURE PASSIVATION
dev_mosfet_seq_0303_t60,116,CURE PASSIVATION
dev_mosfet_seq_0303_t60,117,CURE PASSIVATION
dev_mosfet_seq_0303_t60,118,CURE PASSIVATION
dev_mosfet_seq_0303_t60,119,CURE PASSIVATION
dev_mosfet_seq_0303_t60,120,CURE PASSIVATION
dev_mosfet_seq_0303_t60,121,CURE PASSIVATION
dev_mosfet_seq_0303_t60,122,CURE PASSIVATION
dev_mosfet_seq_0303_t60,123,CURE PASSIVATION
dev_mosfet_seq_0303_t60,124,CURE PASSIVATION
dev_mosfet_seq_0303_t60,125,CURE PASSIVATION
dev_mosfet_seq_0303_t60,126,CURE PASSIVATION
dev_mosfet_seq_0303_t60,127,CURE PASSIVATION
dev_mosfet_seq_0303_t60,128,CURE PASSIVATION
dev_mosfet_seq_0303_t60,129,CURE PASSIVATION
dev_mosfet_seq_0303_t60,130,CURE PASSIVATION
dev_mosfet_seq_0303_t60,131,CURE PASSIVATION
dev_mosfet_seq_0303_t60,132,CURE PASSIVATION
dev_mosfet_seq_0303_t60,133,CURE PASSIVATION
dev_mosfet_seq_0303_t60,134,CURE PASSIVATION
dev_mosfet_seq_0303_t60,135,CURE PASSIVATION
dev_mosfet_seq_0303_t60,136,CURE PASSIVATION
dev_mosfet_seq_0303_t60,137,CURE PASSIVATION
dev_mosfet_seq_0303_t60,138,CURE PASSIVATION
dev_mosfet_seq_0303_t60,139,CURE PASSIVATION
dev_mosfet_seq_0303_t60,140,CURE PASSIVATION
dev_mosfet_seq_0303_t60,141,CURE PASSIVATION
dev_mosfet_seq_0303_t60,142,CURE PASSIVATION
dev_mosfet_seq_0303_t60,143,CURE PASSIVATION
dev_mosfet_seq_0303_t60,144,CURE PASSIVATION
dev_mosfet_seq_0303_t60,145,CURE PASSIVATION
dev_mosfet_seq_0303_t60,146,CURE PASSIVATION
dev_mosfet_seq_0303_t60,147,CURE PASSIVATION
dev_mosfet_seq_0303_t60,148,CURE PASSIVATION
dev_mosfet_seq_0303_t60,149,CURE PASSIVATION
dev_mosfet_seq_0303_t60,150,CURE PASSIVATION
dev_mosfet_seq_0303_t60,151,CURE PASSIVATION
dev_mosfet_seq_0303_t60,152,CURE PASSIVATION
dev_mosfet_seq_0303_t60,153,CURE PASSIVATION
dev_mosfet_seq_0303_t60,154,CURE PASSIVATION
dev_mosfet_seq_0303_t60,155,CURE PASSIVATION
dev_mosfet_seq_0303_t60,156,CURE PASSIVATION
dev_mosfet_seq_0303_t60,157,CURE PASSIVATION
dev_mosfet_seq_0303_t60,158,CURE PASSIVATION
dev_mosfet_seq_0303_t60,159,CURE PASSIVATION
dev_mosfet_seq_0303_t60,160,CURE PASSIVATION
dev_mosfet_seq_0303_t60,161,CURE PASSIVATION
dev_mosfet_seq_0303_t60,162,CURE PASSIVATION
dev_mosfet_seq_0303_t60,163,CURE PASSIVATION
dev_mosfet_seq_0303_t60,164,CURE PASSIVATION
dev_mosfet_seq_0303_t60,165,CURE PASSIVATION
dev_mosfet_seq_0303_t60,166,CURE PASSIVATION
dev_mosfet_seq_0303_t60,167,CURE PASSIVATION
dev_mosfet_seq_0303_t60,168,CURE PASSIVATION
dev_mosfet_seq_0303_t60,169,CURE PASSIVATION
dev_mosfet_seq_0303_t60,170,CURE PASSIVATION
dev_mosfet_seq_0303_t60,171,CURE PASSIVATION
dev_mosfet_seq_0303_t60,172,CURE PASSIVATION
dev_mosfet_seq_0303_t60,173,CURE PASSIVATION
dev_mosfet_seq_0303_t60,174,CURE PASSIVATION
dev_mosfet_seq_0303_t60,175,CURE PASSIVATION
dev_mosfet_seq_0303_t60,176,CURE PASSIVATION
dev_mosfet_seq_0303_t60,177,CURE PASSIVATION
dev_mosfet_seq_0303_t60,178,CURE PASSIVATION
dev_mosfet_seq_0303_t60,179,CURE PASSIVATION
dev_mosfet_seq_0303_t60,180,CURE PASSIVATION
dev_mosfet_seq_0303_t60,181,CURE PASSIVATION
dev_mosfet_seq_0303_t60,182,CURE PASSIVATION
dev_mosfet_seq_0303_t60,183,CURE PASSIVATION
dev_mosfet_seq_0303_t60,184,CURE PASSIVATION
dev_mosfet_seq_0303_t60,185,CURE PASSIVATION
dev_mosfet_seq_0303_t60,186,CURE PASSIVATION
dev_mosfet_seq_0303_t60,187,CURE PASSIVATION
dev_mosfet_seq_0303_t60,188,CURE PASSIVATION
dev_mosfet_seq_0303_t60,189,CURE PASSIVATION
dev_mosfet_seq_0303_t60,190,CURE PASSIVATION
dev_mosfet_seq_0303_t60,191,CURE PASSIVATION
dev_mosfet_seq_0303_t60,192,CURE PASSIVATION
dev_mosfet_seq_0303_t60,193,CURE PASSIVATION
dev_mosfet_seq_0303_t60,194,CURE PASSIVATION
dev_mosfet_seq_0303_t60,195,CURE PASSIVATION
dev_mosfet_seq_0303_t60,196,CURE PASSIVATION
dev_mosfet_seq_0303_t60,197,CURE PASSIVATION
dev_mosfet_seq_0303_t60,198,CURE PASSIVATION
dev_mosfet_seq_0303_t60,199,CURE PASSIVATION
dev_mosfet_seq_0303_t60,200,CURE PASSIVATION
dev_mosfet_seq_0303_t60,201,CURE PASSIVATION
dev_mosfet_seq_0303_t60,202,CURE PASSIVATION
dev_mosfet_seq_0303_t60,203,CURE PASSIVATION
dev_mosfet_seq_0303_t60,204,CURE PASSIVATION
dev_mosfet_seq_0303_t60,205,CURE PASSIVATION
dev_mosfet_seq_0303_t60,206,CURE PASSIVATION
dev_mosfet_seq_0303_t60,207,CURE PASSIVATION
dev_mosfet_seq_0303_t60,208,CURE PASSIVATION
dev_mosfet_seq_0303_t60,209,CURE PASSIVATION
dev_mosfet_seq_0303_t60,210,CURE PASSIVATION
dev_mosfet_seq_0303_t60,211,CURE PASSIVATION
dev_mosfet_seq_0303_t60,212,CURE PASSIVATION
dev_mosfet_seq_0303_t60,213,CURE PASSIVATION
dev_mosfet_seq_0303_t60,214,CURE PASSIVATION
dev_mosfet_seq_0303_t60,215,CURE PASSIVATION
dev_mosfet_seq_0303_t60,216,CURE PASSIVATION
dev_mosfet_seq_0303_t60,217,CURE PASSIVATION
dev_mosfet_seq_0303_t60,218,CURE PASSIVATION
dev_mosfet_seq_0303_t60,219,CURE PASSIVATION
dev_mosfet_seq_0303_t60,220,CURE PASSIVATION
dev_mosfet_seq_0303_t60,221,CURE PASSIVATION
dev_mosfet_seq_0303_t60,222,CURE PASSIVATION
dev_mosfet_seq_0303_t60,223,CURE PASSIVATION
dev_mosfet_seq_0303_t60,224,CURE PASSIVATION
dev_mosfet_seq_0303_t60,225,CURE PASSIVATION
dev_mosfet_seq_0303_t60,226,CURE PASSIVATION
dev_mosfet_seq_0303_t60,227,CURE PASSIVATION
dev_mosfet_seq_0303_t60,228,CURE PASSIVATION
dev_mosfet_seq_0303_t60,229,CURE PASSIVATION
dev_mosfet_seq_0303_t60,230,CURE PASSIVATION
dev_mosfet_seq_0303_t60,231,CURE PASSIVATION
dev_mosfet_seq_0303_t60,232,CURE PASSIVATION
dev_mosfet_seq_0303_t60,233,CURE PASSIVATION
dev_mosfet_seq_0303_t60,234,CURE PASSIVATION
dev_mosfet_seq_0303_t60,235,CURE PASSIVATION
dev_mosfet_seq_0303_t60,236,CURE PASSIVATION
dev_mosfet_seq_0303_t60,237,CURE PASSIVATION
dev_mosfet_seq_0303_t60,238,CURE PASSIVATION
dev_mosfet_seq_0303_t60,239,CURE PASSIVATION
dev_mosfet_seq_0303_t60,240,CURE PASSIVATION
dev_mosfet_seq_0303_t60,241,CURE PASSIVATION
dev_mosfet_seq_0303_t60,242,CURE PASSIVATION
dev_mosfet_seq_0303_t60,243,CURE PASSIVATION
dev_mosfet_seq_0303_t60,244,CURE PASSIVATION
dev_mosfet_seq_0303_t60,245,CURE PASSIVATION
dev_mosfet_seq_0303_t60,246,CURE PASSIVATION
dev_mosfet_seq_0303_t60,247,CURE PASSIVATION
dev_mosfet_seq_0303_t60,248,CURE PASSIVATION
dev_mosfet_seq_0303_t60,249,CURE PASSIVATION
dev_mosfet_seq_0303_t60,250,CURE PASSIVATION
dev_mosfet_seq_0303_t60,251,CURE PASSIVATION
dev_mosfet_seq_0303_t60,252,CURE PASSIVATION
dev_mosfet_seq_0303_t60,253,CURE PASSIVATION
dev_mosfet_seq_0303_t60,254,CURE PASSIVATION
dev_mosfet_seq_0303_t60,255,CURE PASSIVATION
dev_mosfet_seq_0303_t60,256,CURE PASSIVATION
dev_mosfet_seq_0303_t60,257,CURE PASSIVATION
dev_mosfet_seq_0303_t60,258,CURE PASSIVATION
dev_mosfet_seq_0303_t60,259,CURE PASSIVATION
dev_mosfet_seq_0303_t60,260,CURE PASSIVATION
dev_mosfet_seq_0303_t60,261,CURE PASSIVATION
dev_mosfet_seq_0303_t60,262,CURE PASSIVATION
dev_mosfet_seq_0303_t60,263,CURE PASSIVATION
dev_mosfet_seq_0303_t60,264,CURE PASSIVATION
dev_mosfet_seq_0303_t60,265,CURE PASSIVATION
dev_mosfet_seq_0303_t60,266,CURE PASSIVATION
dev_mosfet_seq_0303_t60,267,CURE PASSIVATION
dev_mosfet_seq_0303_t60,268,CURE PASSIVATION
dev_mosfet_seq_0303_t60,269,CURE PASSIVATION
dev_mosfet_seq_0303_t60,270,CURE PASSIVATION
dev_mosfet_seq_0303_t60,271,CURE PASSIVATION
dev_mosfet_seq_0303_t60,272,CURE PASSIVATION
dev_mosfet_seq_0303_t60,273,CURE PASSIVATION
dev_mosfet_seq_0303_t60,274,CURE PASSIVATION
dev_mosfet_seq_0303_t60,275,CURE PASSIVATION
dev_mosfet_seq_0303_t60,276,CURE PASSIVATION
dev_mosfet_seq_0303_t60,277,CURE PASSIVATION
dev_mosfet_seq_0303_t60,278,CURE PASSIVATION
dev_mosfet_seq_0303_t60,279,CURE PASSIVATION
dev_mosfet_seq_0303_t60,280,CURE PASSIVATION
dev_mosfet_seq_0303_t60,281,CURE PASSIVATION
dev_mosfet_seq_0303_t60,282,CURE PASSIVATION
dev_mosfet_seq_0303_t60,283,CURE PASSIVATION
dev_mosfet_seq_0303_t60,284,CURE PASSIVATION
dev_mosfet_seq_0303_t60,285,CURE PASSIVATION
dev_mosfet_seq_0303_t60,286,CURE PASSIVATION
dev_mosfet_seq_0303_t60,287,CURE PASSIVATION
dev_mosfet_seq_0303_t60,288,CURE PASSIVATION
dev_mosfet_seq_0303_t60,289,CURE PASSIVATION
dev_mosfet_seq_0303_t60,290,CURE PASSIVATION
dev_mosfet_seq_0303_t60,291,CURE PASSIVATION
dev_mosfet_seq_0303_t60,292,CURE PASSIVATION
dev_mosfet_seq_0303_t60,293,CURE PASSIVATION
dev_mosfet_seq_0303_t60,294,CURE PASSIVATION
dev_mosfet_seq_0303_t60,295,CURE PASSIVATION
dev_mosfet_seq_0303_t60,296,CURE PASSIVATION
dev_mosfet_seq_0303_t60,297,CURE PASSIVATION
dev_mosfet_seq_0303_t60,298,CURE PASSIVATION
dev_mosfet_seq_0303_t60,299,CURE PASSIVATION
dev_mosfet_seq_0303_t60,300,CURE PASSIVATION
dev_mosfet_seq_0303_t60,301,CURE PASSIVATION
dev_mosfet_seq_0303_t60,302,CURE PASSIVATION
dev_mosfet_seq_0303_t60,303,CURE PASSIVATION
dev_mosfet_seq_0303_t60,304,CURE PASSIVATION
dev_mosfet_seq_0303_t60,305,CURE PASSIVATION
dev_mosfet_seq_0303_t60,306,CURE PASSIVATION
dev_mosfet_seq_0303_t60,307,CURE PASSIVATION
dev_mosfet_seq_0303_t60,308,CURE PASSIVATION
dev_mosfet_seq_0303_t60,309,CURE PASSIVATION
dev_mosfet_seq_0303_t60,310,CURE PASSIVATION
dev_mosfet_seq_0303_t60,311,CURE PASSIVATION
dev_mosfet_seq_0303_t60,312,CURE PASSIVATION
dev_mosfet_seq_0303_t60,313,CURE PASSIVATION
dev_mosfet_seq_0303_t60,314,CURE PASSIVATION
dev_mosfet_seq_0303_t60,315,CURE PASSIVATION
dev_mosfet_seq_0303_t60,316,CURE PASSIVATION
dev_mosfet_seq_0303_t60,317,CURE PASSIVATION
dev_mosfet_seq_0303_t60,318,CURE PASSIVATION
dev_mosfet_seq_0303_t60,319,CURE PASSIVATION
dev_mosfet_seq_0303_t60,320,CURE PASSIVATION
dev_mosfet_seq_0303_t60,321,CURE PASSIVATION
dev_mosfet_seq_0303_t60,322,CURE PASSIVATION
dev_mosfet_seq_0303_t60,323,CURE PASSIVATION
dev_mosfet_seq_0303_t60,324,CURE PASSIVATION
dev_mosfet_seq_0303_t60,325,CURE PASSIVATION
dev_mosfet_seq_0303_t60,326,CURE PASSIVATION
dev_mosfet_seq_0303_t60,327,CURE PASSIVATION
dev_mosfet_seq_0303_t60,328,CURE PASSIVATION
dev_mosfet_seq_0303_t60,329,CURE PASSIVATION
dev_mosfet_seq_0303_t60,330,CURE PASSIVATION
dev_mosfet_seq_0303_t60,331,CURE PASSIVATION
dev_mosfet_seq_0303_t60,332,CURE PASSIVATION
dev_mosfet_seq_0303_t60,333,CURE PASSIVATION
dev_mosfet_seq_0303_t60,334,CURE PASSIVATION
dev_mosfet_seq_0303_t60,335,CURE PASSIVATION
dev_mosfet_seq_0303_t60,336,CURE PASSIVATION
dev_mosfet_seq_0303_t60,337,CURE PASSIVATION
dev_mosfet_seq_0303_t60,338,CURE PASSIVATION
dev_mosfet_seq_0303_t60,339,CURE PASSIVATION
dev_mosfet_seq_0303_t60,340,CURE PASSIVATION
dev_mosfet_seq_0303_t60,341,CURE PASSIVATION
dev_mosfet_seq_0303_t60,342,CURE PASSIVATION
dev_mosfet_seq_0303_t60,343,CURE PASSIVATION
dev_mosfet_seq_0303_t60,344,CURE PASSIVATION
dev_mosfet_seq_0303_t60,345,CURE PASSIVATION
dev_mosfet_seq_0303_t60,346,CURE PASSIVATION
dev_mosfet_seq_0303_t60,347,CURE PASSIVATION
dev_mosfet_seq_0303_t60,348,CURE PASSIVATION
dev_mosfet_seq_0303_t60,349,CURE PASSIVATION
dev_mosfet_seq_0303_t60,350,CURE PASSIVATION
dev_mosfet_seq_0303_t60,351,CURE PASSIVATION
dev_mosfet_seq_0303_t60,352,CURE PASSIVATION
dev_mosfet_seq_0303_t60,353,CURE PASSIVATION
dev_mosfet_seq_0303_t60,354,CURE PASSIVATION
dev_mosfet_seq_0303_t60,355,CURE PASSIVATION
dev_mosfet_seq_0303_t60,356,CURE PASSIVATION
dev_mosfet_seq_0303_t60,357,CURE PASSIVATION
dev_mosfet_seq_0303_t60,358,CURE PASSIVATION
dev_mosfet_seq_0303_t60,359,CURE PASSIVATION
dev_mosfet_seq_0303_t60,360,CURE PASSIVATION
dev_mosfet_seq_0303_t60,361,CURE PASSIVATION
dev_mosfet_seq_0303_t60,362,CURE PASSIVATION
dev_mosfet_seq_0303_t60,363,CURE PASSIVATION
dev_mosfet_seq_0303_t60,364,CURE PASSIVATION
dev_mosfet_seq_0303_t60,365,CURE PASSIVATION
dev_mosfet_seq_0303_t60,366,CURE PASSIVATION
dev_mosfet_seq_0303_t60,367,CURE PASSIVATION
dev_mosfet_seq_0303_t60,368,CURE PASSIVATION
dev_mosfet_seq_0303_t60,369,CURE PASSIVATION
dev_mosfet_seq_0303_t60,370,CURE PASSIVATION
dev_mosfet_seq_0303_t60,371,CURE PASSIVATION
dev_mosfet_seq_0303_t60,372,CURE PASSIVATION
dev_mosfet_seq_0303_t80,0,RECEIVE WAFER LOT
dev_mosfet_seq_0303_t80,1,LOT IDENTIFICATION
dev_mosfet_seq_0303_t80,2,PRE CLEAN INSPECTION
dev_mosfet_seq_0303_t80,3,MEASURE THICKNESS
dev_mosfet_seq_0303_t80,4,PRE CLEAN WAFER
dev_mosfet_seq_0303_t80,5,FRONTSIDE CLEAN
dev_mosfet_seq_0303_t80,6,WET CLEAN RCA1
dev_mosfet_seq_0303_t80,7,WET CLEAN RCA2
dev_mosfet_seq_0303_t80,8,HF DIP
dev_mosfet_seq_0303_t80,9,DRY WAFER
dev_mosfet_seq_0303_t80,10,SUBSTRATE CHECK
dev_mosfet_seq_0303_t80,11,EPITAXY PREP
dev_mosfet_seq_0303_t80,12,EPITAXIAL DEPOSITION
dev_mosfet_seq_0303_t80,13,MEASURE EPITAXY THICKNESS
dev_mosfet_seq_0303_t80,14,MEASURE RESISTIVITY
dev_mosfet_seq_0303_t80,15,EPITAXY ANNEAL
dev_mosfet_seq_0303_t80,16,WAFER SURFACE CLEAN
dev_mosfet_seq_0303_t80,17,THERMAL OXIDATION
dev_mosfet_seq_0303_t80,18,MEASURE OXIDE THICKNESS
dev_mosfet_seq_0303_t80,19,SPIN COAT PHOTORESIST
dev_mosfet_seq_0303_t80,20,SOFT BAKE
dev_mosfet_seq_0303_t80,21,ALIGN MASK LEVEL 1
dev_mosfet_seq_0303_t80,22,EXPOSE LITHO LEVEL 1
dev_mosfet_seq_0303_t80,23,DEVELOP PHOTORESIST
dev_mosfet_seq_0303_t80,24,PATTERN INSPECTION LEVEL 1
dev_mosfet_seq_0303_t80,25,OXIDE ETCH
dev_mosfet_seq_0303_t80,26,STRIP RESIST
dev_mosfet_seq_0303_t80,27,CLEAN AFTER ETCH
dev_mosfet_seq_0303_t80,28,MEASURE OPENING CD
dev_mosfet_seq_0303_t80,29,IMPLANT WELL
dev_mosfet_seq_0303_t80,30,DRIVE IN DIFFUSION
dev_mosfet_seq_0303_t80,31,RAPID THERMAL ANNEAL
dev_mosfet_seq_0303_t80,32,THERMAL OXIDATION
dev_mosfet_seq_0303_t80,33,GATE OXIDE PREP
dev_mosfet_seq_0303_t80,34,GATE OXIDE GROWTH
dev_mosfet_seq_0303_t80,35,MEASURE GATE OXIDE THICKNESS
dev_mosfet_seq_0303_t80,36,DEPOSIT POLYSILICON
dev_mosfet_seq_0303_t80,37,POLYSILICON ANNEAL
dev_mosfet_seq_0303_t80,38,MEASURE POLY THICKNESS
dev_mosfet_seq_0303_t80,39,SPIN COAT PHOTORESIST
dev_mosfet_seq_0303_t80,40,SOFT BAKE
dev_mosfet_seq_0303_t80,41,ALIGN MASK LEVEL 2
dev_mosfet_seq_0303_t80,42,EXPOSE LITHO LEVEL 2
dev_mosfet_seq_0303_t80,43,POST EXPOSE BAKE
dev_mosfet_seq_0303_t80,44,DEVELOP PHOTORESIST
dev_mosfet_seq_0303_t80,45,POLY PATTERN INSPECTION
dev_mosfet_seq_0303_t80,46,POLYSILICON ETCH
dev_mosfet_seq_0303_t80,47,STRIP RESIST
dev_mosfet_seq_0303_t80,48,CLEAN AFTER POLY ETCH
dev_mosfet_seq_0303_t80,49,IMPLANT SOURCE DRAIN
dev_mosfet_seq_0303_t80,50,PRE ANNEAL CHECK
dev_mosfet_seq_0303_t80,51,LIGHT ANNEAL
dev_mosfet_seq_0303_t80,52,MEASURE SHEET RESISTANCE
dev_mosfet_seq_0303_t80,53,DEPOSIT SPACER DIELECTRIC
dev_mosfet_seq_0303_t80,54,ANISOTROPIC ETCH SPACER
dev_mosfet_seq_0303_t80,55,IMPLANT LDD
dev_mosfet_seq_0303_t80,56,RAPID THERMAL ANNEAL
dev_mosfet_seq_0303_t80,57,MEASURE JUNCTION PROFILE
dev_mosfet_seq_0303_t80,58,DEPOSIT INTERLAYER DIELECTRIC
dev_mosfet_seq_0303_t80,59,DENSIFY OXIDE
dev_mosfet_seq_0303_t80,60,MEASURE FILM THICKNESS
dev_mosfet_seq_0303_t80,61,CMP DIELECTRIC
dev_mosfet_seq_0303_t80,62,MEASURE SURFACE PLANARITY
dev_mosfet_seq_0303_t80,63,SPIN COAT PHOTORESIST
dev_mosfet_seq_0303_t80,64,SOFT BAKE
dev_mosfet_seq_0303_t80,65,ALIGN MASK LEVEL 3
dev_mosfet_seq_0303_t80,66,EXPOSE LITHO LEVEL 3
dev_mosfet_seq_0303_t80,67,DEVELOP PHOTORESIST
dev_mosfet_seq_0303_t80,68,VIA INSPECTION
dev_mosfet_seq_0303_t80,69,VIA ETCH
dev_mosfet_seq_0303_t80,70,STRIP PHOTORESIST
dev_mosfet_seq_0303_t80,71,CLEAN AFTER VIA ETCH
dev_mosfet_seq_0303_t80,72,MEASURE VIA CD
dev_mosfet_seq_0303_t80,73,DEPOSIT BARRIER METAL
dev_mosfet_seq_0303_t80,74,DEPOSIT METAL SEED
dev_mosfet_seq_0303_t80,75,FILL VIA METAL
dev_mosfet_seq_0303_t80,76,CMP METAL
