SEQUENCE_ID,RANK,STEP
dev_mosfet_seq_0796_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0796_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0796_t80,2,OPEN BOND PAD WINDOW
dev_mosfet_seq_0796_t80,3,CURE PASSIVATION
dev_mosfet_seq_0796_t80,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0796_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0610_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0610_t60,2,CURE PASSIVATION
dev_mosfet_seq_0610_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0610_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0610_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0610_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0610_t80,2,OPEN BOND PAD WINDOW
dev_mosfet_seq_0610_t80,3,CURE PASSIVATION
dev_mosfet_seq_0610_t80,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0610_t80,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0073_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0073_t60,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0073_t60,3,CURE PASSIVATION
dev_mosfet_seq_0073_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0073_t60,5,STRIP RESIST
dev_mosfet_seq_0073_t80,1,CURE PASSIVATION
dev_mosfet_seq_0073_t80,2,SPIN COAT PHOTORESIST
dev_mosfet_seq_0073_t80,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0073_t80,4,FINAL CD INSPECTION
dev_mosfet_seq_0073_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0250_t60,1,CURE PASSIVATION
dev_mosfet_seq_0250_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0250_t60,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0250_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0250_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0250_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0250_t80,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0250_t80,3,POST EXPOSE BAKE
dev_mosfet_seq_0250_t80,4,CURE PASSIVATION
dev_mosfet_seq_0250_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0433_t60,1,BACKSIDE ANNEAL
dev_mosfet_seq_0433_t60,2,CURE PASSIVATION
dev_mosfet_seq_0433_t60,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0433_t60,4,STRIP RESIST
dev_mosfet_seq_0433_t60,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0433_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0433_t80,2,CURE PASSIVATION
dev_mosfet_seq_0433_t80,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0433_t80,4,FINAL CD INSPECTION
dev_mosfet_seq_0433_t80,5,BACKSIDE ANNEAL
dev_mosfet_seq_0440_t60,1,CURE PASSIVATION
dev_mosfet_seq_0440_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0440_t60,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0440_t60,4,CLEAN AFTER VIA ETCH
dev_mosfet_seq_0440_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0440_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0440_t80,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0440_t80,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0440_t80,4,POST EXPOSE BAKE
dev_mosfet_seq_0440_t80,5,CURE PASSIVATION
dev_mosfet_seq_0053_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0053_t60,2,CURE PASSIVATION
dev_mosfet_seq_0053_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0053_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0053_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0053_t80,1,SOFT BAKE
dev_mosfet_seq_0053_t80,2,SPIN COAT PHOTORESIST
dev_mosfet_seq_0053_t80,3,CURE PASSIVATION
dev_mosfet_seq_0053_t80,4,BACKSIDE ANNEAL
dev_mosfet_seq_0053_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0300_t60,1,BACKSIDE ANNEAL
dev_mosfet_seq_0300_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0300_t60,3,CURE PASSIVATION
dev_mosfet_seq_0300_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0300_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0300_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0300_t80,2,OPEN BOND PAD WINDOW
dev_mosfet_seq_0300_t80,3,BACKSIDE ANNEAL
dev_mosfet_seq_0300_t80,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0300_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0761_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0761_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0761_t60,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0761_t60,4,CURE PASSIVATION
dev_mosfet_seq_0761_t60,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0761_t80,1,CURE PASSIVATION
dev_mosfet_seq_0761_t80,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0761_t80,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0761_t80,4,BACKSIDE ANNEAL
dev_mosfet_seq_0761_t80,5,POST EXPOSE BAKE
dev_mosfet_seq_0958_t60,1,CURE PASSIVATION
dev_mosfet_seq_0958_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0958_t60,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0958_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0958_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0958_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0958_t80,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0958_t80,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0958_t80,4,OPEN BOND PAD WINDOW
dev_mosfet_seq_0958_t80,5,POST EXPOSE BAKE
dev_mosfet_seq_0264_t60,1,DIELECTRIC ETCH VIA
dev_mosfet_seq_0264_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0264_t60,3,CURE PASSIVATION
dev_mosfet_seq_0264_t60,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0264_t60,5,OPEN BOND PAD WINDOW
dev_mosfet_seq_0264_t80,1,CURE PASSIVATION
dev_mosfet_seq_0264_t80,2,SPIN COAT PHOTORESIST
dev_mosfet_seq_0264_t80,3,BACKSIDE ANNEAL
dev_mosfet_seq_0264_t80,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0264_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0086_t60,1,CURE PASSIVATION
dev_mosfet_seq_0086_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0086_t60,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0086_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0086_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0086_t80,1,SOFT BAKE
dev_mosfet_seq_0086_t80,2,BACKSIDE ANNEAL
dev_mosfet_seq_0086_t80,3,CURE PASSIVATION
dev_mosfet_seq_0086_t80,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0086_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0358_t60,1,CURE PASSIVATION
dev_mosfet_seq_0358_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0358_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0358_t60,4,DEPOSIT POLYSILICON
dev_mosfet_seq_0358_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0358_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0358_t80,2,OPEN BOND PAD WINDOW
dev_mosfet_seq_0358_t80,3,BACKSIDE ANNEAL
dev_mosfet_seq_0358_t80,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0358_t80,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0526_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0526_t60,2,CURE PASSIVATION
dev_mosfet_seq_0526_t60,3,DEPOSIT POLYSILICON
dev_mosfet_seq_0526_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0526_t60,5,STRIP RESIST
dev_mosfet_seq_0526_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0526_t80,2,OPEN BOND PAD WINDOW
dev_mosfet_seq_0526_t80,3,CURE PASSIVATION
dev_mosfet_seq_0526_t80,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0526_t80,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0244_t60,1,BACKSIDE ANNEAL
dev_mosfet_seq_0244_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0244_t60,3,CURE PASSIVATION
dev_mosfet_seq_0244_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0244_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0244_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0244_t80,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0244_t80,3,OPEN BOND PAD WINDOW
dev_mosfet_seq_0244_t80,4,CURE PASSIVATION
dev_mosfet_seq_0244_t80,5,POST EXPOSE BAKE
dev_mosfet_seq_0882_t60,1,CURE PASSIVATION
dev_mosfet_seq_0882_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0882_t60,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0882_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0882_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0882_t80,1,SOFT BAKE
dev_mosfet_seq_0882_t80,2,BACKSIDE ANNEAL
dev_mosfet_seq_0882_t80,3,CURE PASSIVATION
dev_mosfet_seq_0882_t80,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0882_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0217_t60,1,CURE PASSIVATION
dev_mosfet_seq_0217_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0217_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0217_t60,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0217_t60,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0217_t80,1,STRIP RESIST
dev_mosfet_seq_0217_t80,2,CURE PASSIVATION
dev_mosfet_seq_0217_t80,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0217_t80,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0217_t80,5,BACKSIDE ANNEAL
dev_mosfet_seq_0858_t60,1,CURE PASSIVATION
dev_mosfet_seq_0858_t60,2,STRIP RESIST
dev_mosfet_seq_0858_t60,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0858_t60,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0858_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0858_t80,1,SOFT BAKE
dev_mosfet_seq_0858_t80,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0858_t80,3,CURE PASSIVATION
dev_mosfet_seq_0858_t80,4,OPEN BOND PAD WINDOW
dev_mosfet_seq_0858_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0475_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0475_t60,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0475_t60,3,CURE PASSIVATION
dev_mosfet_seq_0475_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0475_t60,5,STRIP RESIST
dev_mosfet_seq_0475_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0475_t80,2,CURE PASSIVATION
dev_mosfet_seq_0475_t80,3,BACKSIDE ANNEAL
dev_mosfet_seq_0475_t80,4,OPEN BOND PAD WINDOW
dev_mosfet_seq_0475_t80,5,POST EXPOSE BAKE
dev_mosfet_seq_0216_t60,1,CURE PASSIVATION
dev_mosfet_seq_0216_t60,2,SPIN COAT PHOTORESIST
dev_mosfet_seq_0216_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0216_t60,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0216_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0216_t80,1,CURE PASSIVATION
dev_mosfet_seq_0216_t80,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0216_t80,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0216_t80,4,DEPOSIT POLYSILICON
dev_mosfet_seq_0216_t80,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0789_t60,1,CURE PASSIVATION
dev_mosfet_seq_0789_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0789_t60,3,STRIP RESIST
dev_mosfet_seq_0789_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0789_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0789_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0789_t80,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0789_t80,3,POST EXPOSE BAKE
dev_mosfet_seq_0789_t80,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0789_t80,5,CURE PASSIVATION
dev_mosfet_seq_0202_t60,1,CURE PASSIVATION
dev_mosfet_seq_0202_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0202_t60,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0202_t60,4,CLEAN AFTER VIA ETCH
dev_mosfet_seq_0202_t60,5,BACKSIDE ANNEAL
dev_mosfet_seq_0202_t80,1,SOFT BAKE
dev_mosfet_seq_0202_t80,2,BACKSIDE ANNEAL
dev_mosfet_seq_0202_t80,3,CURE PASSIVATION
dev_mosfet_seq_0202_t80,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0202_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0448_t60,1,DIELECTRIC ETCH VIA
dev_mosfet_seq_0448_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0448_t60,3,CURE PASSIVATION
dev_mosfet_seq_0448_t60,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0448_t60,5,RCA CLEAN 1
dev_mosfet_seq_0448_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0448_t80,2,BACKSIDE ANNEAL
dev_mosfet_seq_0448_t80,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0448_t80,4,CURE PASSIVATION
dev_mosfet_seq_0448_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0970_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0970_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0970_t60,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0970_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0970_t60,5,CURE PASSIVATION
dev_mosfet_seq_0970_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0970_t80,2,CURE PASSIVATION
dev_mosfet_seq_0970_t80,3,POST EXPOSE BAKE
dev_mosfet_seq_0970_t80,4,BACKSIDE ANNEAL
dev_mosfet_seq_0970_t80,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0442_t60,1,CURE PASSIVATION
dev_mosfet_seq_0442_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0442_t60,3,STRIP RESIST
dev_mosfet_seq_0442_t60,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0442_t60,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0442_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0442_t80,2,CURE PASSIVATION
dev_mosfet_seq_0442_t80,3,SOFT BAKE
dev_mosfet_seq_0442_t80,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0442_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0298_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0298_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0298_t60,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0298_t60,4,CURE PASSIVATION
dev_mosfet_seq_0298_t60,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0298_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0298_t80,2,CURE PASSIVATION
dev_mosfet_seq_0298_t80,3,SOFT BAKE
dev_mosfet_seq_0298_t80,4,BACKSIDE ANNEAL
dev_mosfet_seq_0298_t80,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0602_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0602_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0602_t60,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0602_t60,4,CURE PASSIVATION
dev_mosfet_seq_0602_t60,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0602_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0602_t80,2,CURE PASSIVATION
dev_mosfet_seq_0602_t80,3,POST EXPOSE BAKE
dev_mosfet_seq_0602_t80,4,BACKSIDE ANNEAL
dev_mosfet_seq_0602_t80,5,OPEN BOND PAD WINDOW
dev_mosfet_seq_0308_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0308_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0308_t60,3,CURE PASSIVATION
dev_mosfet_seq_0308_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0308_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0308_t80,1,SOFT BAKE
dev_mosfet_seq_0308_t80,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0308_t80,3,CURE PASSIVATION
dev_mosfet_seq_0308_t80,4,DEPOSIT POLYSILICON
dev_mosfet_seq_0308_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0768_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0768_t60,2,CURE PASSIVATION
dev_mosfet_seq_0768_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0768_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0768_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0768_t80,1,STRIP RESIST
dev_mosfet_seq_0768_t80,2,CURE PASSIVATION
dev_mosfet_seq_0768_t80,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0768_t80,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0768_t80,5,BACKSIDE ANNEAL
dev_mosfet_seq_0554_t60,1,CURE PASSIVATION
dev_mosfet_seq_0554_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0554_t60,3,CLEAN AFTER VIA ETCH
dev_mosfet_seq_0554_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0554_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0554_t80,1,SOFT BAKE
dev_mosfet_seq_0554_t80,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0554_t80,3,CURE PASSIVATION
dev_mosfet_seq_0554_t80,4,OPEN BOND PAD WINDOW
dev_mosfet_seq_0554_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0292_t60,1,CURE PASSIVATION
dev_mosfet_seq_0292_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0292_t60,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0292_t60,4,CLEAN AFTER VIA ETCH
dev_mosfet_seq_0292_t60,5,BACKSIDE ANNEAL
dev_mosfet_seq_0292_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0292_t80,2,CURE PASSIVATION
dev_mosfet_seq_0292_t80,3,SOFT BAKE
dev_mosfet_seq_0292_t80,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0292_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0857_t60,1,BACKSIDE ANNEAL
dev_mosfet_seq_0857_t60,2,SPIN COAT PHOTORESIST
dev_mosfet_seq_0857_t60,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0857_t60,4,SOFT BAKE
dev_mosfet_seq_0857_t60,5,CURE PASSIVATION
dev_mosfet_seq_0857_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0857_t80,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0857_t80,3,CURE PASSIVATION
dev_mosfet_seq_0857_t80,4,STRIP RESIST
dev_mosfet_seq_0857_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0091_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0091_t60,2,CURE PASSIVATION
dev_mosfet_seq_0091_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0091_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0091_t60,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0091_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0091_t80,2,BACKSIDE ANNEAL
dev_mosfet_seq_0091_t80,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0091_t80,4,CURE PASSIVATION
dev_mosfet_seq_0091_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0107_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0107_t60,2,CURE PASSIVATION
dev_mosfet_seq_0107_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0107_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0107_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0107_t80,1,SOFT BAKE
dev_mosfet_seq_0107_t80,2,SPIN COAT PHOTORESIST
dev_mosfet_seq_0107_t80,3,BACKSIDE ANNEAL
dev_mosfet_seq_0107_t80,4,CURE PASSIVATION
dev_mosfet_seq_0107_t80,5,DEVELOP PHOTORESIST
dev_mosfet_seq_0181_t60,1,CURE PASSIVATION
dev_mosfet_seq_0181_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0181_t60,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0181_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0181_t60,5,CLEAN AFTER VIA ETCH
dev_mosfet_seq_0181_t80,1,CURE PASSIVATION
dev_mosfet_seq_0181_t80,2,BACKSIDE ANNEAL
dev_mosfet_seq_0181_t80,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0181_t80,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0181_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0686_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0686_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0686_t60,3,CURE PASSIVATION
dev_mosfet_seq_0686_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0686_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0686_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0686_t80,2,BACKSIDE ANNEAL
dev_mosfet_seq_0686_t80,3,DIELECTRIC ETCH VIA
dev_mosfet_seq_0686_t80,4,CURE PASSIVATION
dev_mosfet_seq_0686_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0464_t60,1,DIELECTRIC ETCH VIA
dev_mosfet_seq_0464_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0464_t60,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0464_t60,4,POST EXPOSE BAKE
dev_mosfet_seq_0464_t60,5,SOFT BAKE
dev_mosfet_seq_0464_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0464_t80,2,BACKSIDE ANNEAL
dev_mosfet_seq_0464_t80,3,CURE PASSIVATION
dev_mosfet_seq_0464_t80,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0464_t80,5,SPIN COAT PHOTORESIST
dev_mosfet_seq_0452_t60,1,CURE PASSIVATION
dev_mosfet_seq_0452_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0452_t60,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0452_t60,4,CLEAN AFTER VIA ETCH
