EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0041,MEASURE VIA CD,DEPOSIT BARRIER METAL,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,EXPOSE LITHO LEVEL 3
valid_0042,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,VIA ETCH THROUGH DIELECTRIC
valid_0043,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,SWITCHING TEST
valid_0044,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,METAL PATTERN INSPECTION,MEASURE THICKNESS
valid_0045,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SWITCHING TEST,DRY WAFER BACKSIDE
valid_0046,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,BACKSIDE ANNEAL,FRONTSIDE CLEAN FINAL
valid_0047,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,PRE ANNEAL CHECK,ALIGN MASK LEVEL 4
valid_0048,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,EXPOSE LITHO LEVEL 4,FIELD OXIDE ETCH
valid_0049,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE INITIAL GEOMETRY,SWITCHING TEST,BACKSIDE ANNEAL
valid_0050,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,MEASURE GATE CD,METAL ETCH,IMPLANT N BUFFER
valid_0051,DEPOSIT BARRIER METAL,MEASURE VIA CD,SWITCHING TEST,HARD BAKE,IMPLANT N-TYPE
valid_0052,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,PASSIVATION ETCH PAD OPENING
valid_0053,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN PAD OPENING
valid_0054,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,SHIP LOT,MEASURE GATE CD
valid_0055,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,MEASURE SURFACE DEFECTS,MEASURE OPENING CD
valid_0056,CLEAN PAD OPENING,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN AFTER METAL ETCH,ALIGN MASK LEVEL 6
valid_0057,STRIP RESIST,STRIP PHOTORESIST,DIELECTRIC ETCH VIA,FRONTSIDE CLEAN,PRE ANNEAL CHECK
valid_0058,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,FINAL CD INSPECTION,CLEAN PAD OPENING
valid_0059,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,DRY WAFER BACKSIDE
valid_0060,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,FRONTSIDE CLEAN FINAL,DEVELOP PAD WINDOW,BACKSIDE ANNEAL
valid_0061,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL CD INSPECTION,OPEN PAD WINDOW LITHO,HARD BAKE
valid_0062,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,MEASURE GATE OXIDE THICKNESS
valid_0063,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,DENSIFY DIELECTRIC,DRY WAFER BACKSIDE
valid_0064,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,FIELD OXIDE ETCH
valid_0065,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0066,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,METAL PATTERN INSPECTION,EPITAXY ANNEAL
valid_0067,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER FIELD ETCH
valid_0068,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,PASSIVATION ETCH PAD OPENING
valid_0069,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING
valid_0070,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,DEPOSIT BACKSIDE PROTECTION,STRIP RESIST
valid_0071,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER ETCH
valid_0072,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,MEASURE GATE CD,DEVELOP PHOTORESIST
valid_0073,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,THERMAL OXIDATION,SWITCHING TEST
valid_0074,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,PASSIVATION ETCH PAD OPENING
valid_0075,MEASURE VIA CD,DEPOSIT BARRIER METAL,EXPOSE LITHO LEVEL 3,DEPOSIT PASSIVATION,MEASURE JUNCTION PROFILE
valid_0076,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT POLYSILICON,DEVELOP PAD WINDOW,FRONTSIDE CLEAN FINAL
valid_0077,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING
valid_0078,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,PASSIVATION ETCH PAD OPENING,DENSIFY DIELECTRIC
valid_0079,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SWITCHING TEST,DRY WAFER BACKSIDE
valid_0080,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,PASSIVATION ETCH PAD OPENING
valid_0081,DEPOSIT BARRIER METAL,MEASURE VIA CD,SWITCHING TEST,BACKSIDE ANNEAL,IMPLANT N-TYPE
valid_0082,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
valid_0083,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH THROUGH DIELECTRIC,EXPOSE LITHO LEVEL 4,PRE ANNEAL CHECK
valid_0084,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,MEASURE GATE CD,DEVELOP PHOTORESIST
valid_0085,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EPITAXIAL DEPOSITION,EXPOSE LITHO LEVEL 3
valid_0086,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,BACKSIDE ETCH CLEAN,STRIP RESIST,DEPOSIT BACKSIDE PROTECTION
valid_0087,HARD BAKE,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DIELECTRIC ETCH VIA,OXIDE ETCH
valid_0088,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,DEPOSIT BARRIER METAL,OPEN PAD WINDOW,MEASURE SURFACE PLANARITY
valid_0089,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0090,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,MEASURE GATE OXIDE THICKNESS,EXPOSE LITHO LEVEL 4
valid_0091,MEASURE VIA CD,DEPOSIT BARRIER METAL,THERMAL OXIDATION,CLEAN AFTER VIA ETCH,DRY WAFER BACKSIDE
valid_0092,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,POST EXPOSE BAKE,FIELD OXIDE ETCH
valid_0093,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH THROUGH DIELECTRIC,BACKSIDE CLEAN,EXPOSE LITHO LEVEL 4
valid_0094,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH,DEPOSIT PASSIVATION,ANNEAL METAL 1
valid_0095,MEASURE VIA CD,DEPOSIT BARRIER METAL,OPEN PAD WINDOW LITHO,CLEAN AFTER VIA ETCH,SWITCHING TEST
valid_0096,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH PAD OPENING,BACKSIDE CLEAN,STRIP RESIST LEVEL 2
valid_0097,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER FIELD ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0098,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,FRONTSIDE CLEAN FINAL,DEVELOP PAD WINDOW,MEASURE PASSIVATION THICKNESS
valid_0099,FILL VIA METAL,DEPOSIT METAL SEED,DEPOSIT PASSIVATION LAYER,FINAL THICKNESS MEASURE,CMP METAL
valid_0100,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,FRONTSIDE CLEAN FINAL,ETCH WET BACKSIDE,CLEAN AFTER METAL ETCH
valid_0101,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER FIELD ETCH,BREAKDOWN VOLTAGE TEST
valid_0102,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,FINAL CD INSPECTION,PASSIVATION ETCH PAD OPENING
valid_0103,DEPOSIT BARRIER METAL,MEASURE VIA CD,SWITCHING TEST,HARD BAKE,IMPLANT N-TYPE
valid_0104,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,METAL PATTERN INSPECTION,METAL ETCH
valid_0105,DEPOSIT BARRIER METAL,MEASURE VIA CD,SWITCHING TEST,HARD BAKE,IMPLANT SOURCE DRAIN
valid_0106,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,PASSIVATION ETCH PAD OPENING
valid_0107,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,ALIGN MASK LEVEL 4,EPITAXY ANNEAL,PASSIVATION ETCH PAD OPENING
valid_0108,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,FRONTSIDE CLEAN FINAL,DEVELOP PAD WINDOW,BACKSIDE ANNEAL
valid_0109,CLEAN AFTER VIA ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH,MEASURE CONTACT RESISTANCE,DEPOSIT TOP METAL
valid_0110,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,FIELD OXIDE ETCH
valid_0111,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,MEASURE CONTACT RESISTANCE,CLEAN AFTER FIELD ETCH
valid_0112,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,FIELD OXIDE ETCH,DENSIFY DIELECTRIC
valid_0113,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DRY WAFER BACKSIDE,SWITCHING TEST
valid_0114,CLEAN PAD OPENING,PASSIVATION ETCH,CLEAN AFTER VIA ETCH,BACKSIDE ANNEAL,STRIP PHOTORESIST
valid_0115,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,SWITCHING TEST
valid_0116,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,EXPOSE LITHO LEVEL 4,MEASURE GATE OXIDE THICKNESS
valid_0117,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,BREAKDOWN VOLTAGE TEST
valid_0118,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0119,DEPOSIT BARRIER METAL,MEASURE VIA CD,SWITCHING TEST,HARD BAKE,IMPLANT N-TYPE
valid_0120,CLEAN PAD OPENING,STRIP RESIST,FRONTSIDE CLEAN FINAL,CLEAN AFTER VIA ETCH,PASSIVATION ETCH PAD OPENING
valid_0121,MEASURE VIA CD,DEPOSIT BARRIER METAL,EXPOSE LITHO LEVEL 3,CLEAN AFTER VIA ETCH,DEPOSIT BACKSIDE METAL
valid_0122,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SHIP LOT
valid_0123,FILL VIA METAL,DEPOSIT METAL SEED,FINAL THICKNESS MEASURE,VIA ETCH,DEPOSIT PASSIVATION LAYER
valid_0124,CLEAN PAD OPENING,PASSIVATION ETCH,BACKSIDE ETCH CLEAN,BACKSIDE ANNEAL,PASSIVATION ETCH PAD OPENING
valid_0125,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,SWITCHING TEST
valid_0126,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,PASSIVATION ETCH PAD OPENING,MEASURE SPACER WIDTH
valid_0127,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,BACKSIDE RINSE
valid_0128,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,FINAL CD INSPECTION,PASSIVATION ETCH PAD OPENING
valid_0129,HARD BAKE,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DIELECTRIC ETCH VIA,VIA OPENING INSPECTION
valid_0130,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,DEPOSIT METAL SEED
valid_0131,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,MEASURE SURFACE PLANARITY,METAL ETCH
valid_0132,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,THRESHOLD VOLTAGE TEST,CLEAN AFTER WINDOW ETCH
valid_0133,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,MEASURE SURFACE DEFECTS,SOFT BAKE
valid_0134,CLEAN PAD OPENING,BACKSIDE ANNEAL,PASSIVATION ETCH,FRONTSIDE CLEAN FINAL,BACKSIDE ETCH CLEAN
valid_0135,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,MEASURE SURFACE DEFECTS,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST
valid_0136,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,RECEIVE WAFER LOT,ETCH WET BACKSIDE,BACKSIDE ETCH CLEAN
valid_0137,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,INSPECT PATTERN LEVEL 1
valid_0138,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,FRONTSIDE CLEAN FINAL,DEVELOP PAD WINDOW,BACKSIDE ANNEAL
valid_0139,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0140,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,MEASURE GATE OXIDE THICKNESS,EXPOSE LITHO LEVEL 4
valid_0141,DEPOSIT BARRIER METAL,MEASURE VIA CD,SWITCHING TEST,BACKSIDE ANNEAL,IMPLANT N-TYPE
valid_0142,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,FIELD OXIDE ETCH,EXPOSE LITHO LEVEL 4
valid_0143,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,ALIGN MASK LEVEL 4,SOFT BAKE,METAL PATTERN INSPECTION
valid_0144,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,MEASURE THICKNESS,METAL ETCH
valid_0145,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,DRY WAFER BACKSIDE
valid_0146,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,CLEAN PAD OPENING,METAL ETCH
valid_0147,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,DRY WAFER BACKSIDE
valid_0148,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
valid_0149,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,MEASURE JUNCTION PROFILE,DEPOSIT BACKSIDE METAL
valid_0150,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,DENSIFY DIELECTRIC,CLEAN PAD OPENING
valid_0151,MEASURE VIA CD,DEPOSIT BARRIER METAL,EXPOSE LITHO LEVEL 3,OPEN PAD WINDOW LITHO,BACKSIDE ETCH CLEAN
valid_0152,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,METAL PATTERN INSPECTION,OPEN PAD WINDOW LITHO
valid_0153,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0154,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,EXPOSE LITHO LEVEL 4,POLYSILICON ANNEAL
valid_0155,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,ANNEAL OXIDE
valid_0156,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,PASSIVATION ETCH PAD OPENING
valid_0157,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL CD INSPECTION,HARD BAKE,VIA ETCH
valid_0158,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,MEASURE GATE CD,DEVELOP PHOTORESIST
valid_0159,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SWITCHING TEST,DRY WAFER BACKSIDE
valid_0160,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
valid_0161,STRIP RESIST,STRIP PHOTORESIST,EXPOSE LITHO LEVEL 4,BACKSIDE CLEAN,VIA ETCH THROUGH DIELECTRIC
valid_0162,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,MEASURE DIELECTRIC THICKNESS,OPEN PAD WINDOW LITHO
valid_0163,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,THERMAL OXIDATION,SWITCHING TEST
valid_0164,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,FIELD OXIDE ETCH,DENSIFY DIELECTRIC
valid_0165,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0166,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,EXPOSE LITHO LEVEL 4,FIELD OXIDE ETCH
valid_0167,DEPOSIT BARRIER METAL,MEASURE VIA CD,HARD BAKE,FINAL CD INSPECTION,VIA ETCH
valid_0168,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,STRIP RESIST,CLEAN AFTER WINDOW ETCH,LEAKAGE TEST
valid_0169,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0170,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,PASSIVATION ETCH PAD OPENING
valid_0171,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,MEASURE SURFACE DEFECTS,EXPOSE LITHO LEVEL 5,ALIGN MASK LEVEL 4
valid_0172,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,DENSIFY DIELECTRIC
valid_0173,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,THERMAL OXIDATION
valid_0174,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,METAL ETCH,MEASURE THICKNESS
valid_0175,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE JUNCTION PROFILE,CLEAN AFTER VIA ETCH,DEPOSIT BACKSIDE METAL
valid_0176,STRIP PHOTORESIST,STRIP RESIST,FIELD OXIDE ETCH,PASSIVATION ETCH,DENSIFY DIELECTRIC
valid_0177,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,MEASURE OPENING CD,METAL PATTERN INSPECTION,ALIGN MASK LEVEL 4
valid_0178,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
